date,date,open,high,close,low,volume
2016-03-24,,3211.5,3221.91,3181.85,3181.81,133131122.0
2016-03-25,,3176.81,3204.44,3197.82,3174.32,97395330.0
2016-03-28,,3206.95,3229.62,3169.73,3161.88,103441933.0
2016-03-29,,3171.31,3178.07,3135.41,3122.76,97294747.0
2016-03-30,,3161.29,3216.68,3216.28,3161.29,117802512.0
2016-03-31,,3229.2,3241.93,3218.09,3208.66,121552074.0
2016-04-01,,3213.67,3222.61,3221.89,3165.86,118122139.0
2016-04-05,,3211.3,3271.93,3264.49,3205.21,146047772.0
2016-04-06,,3250.52,3267.64,3257.53,3236.2,120196305.0
2016-04-07,,3266.29,3270.82,3209.29,3208.64,112409467.0
2016-04-08,,3189.85,3197.77,3185.73,3163.3,101005625.0
2016-04-11,,3213.51,3251.57,3230.1,3213.51,125212709.0
2016-04-12,,3227.37,3232.26,3218.45,3198.9,92869437.0
2016-04-13,,3237.86,3296.52,3261.38,3237.86,195613866.0
2016-04-14,,3277.1,3286.07,3275.83,3252.05,113157327.0
2016-04-15,,3279.86,3282.98,3272.21,3261.73,99807529.0
2016-04-18,,3252.67,3252.67,3228.45,3221.66,97090069.0
2016-04-19,,3243.97,3250.73,3238.3,3221.58,80871440.0
2016-04-20,,3244.14,3248.42,3181.03,3107.37,162207858.0
2016-04-21,,3160.8,3198.56,3160.6,3150.94,104752651.0
2016-04-22,,3142.56,3175.38,3174.9,3137.99,77078492.0
2016-04-25,,3164.74,3172.27,3162.03,3137.11,67519351.0
2016-04-26,,3159.77,3181.1,3179.16,3150.4,59020734.0
2016-04-27,,3181.93,3188.83,3165.92,3162.69,60004147.0
2016-04-28,,3169.33,3174.77,3160.58,3135.64,69870660.0
2016-04-29,,3153.54,3171.29,3156.75,3149.4,58029776.0
2016-05-03,,3159.82,3218.49,3213.54,3151.4,98164835.0
2016-05-04,,3203.47,3222.88,3209.46,3198.29,90862408.0
2016-05-05,,3204.17,3217.28,3213.92,3196.57,74733681.0
2016-05-06,,3213.14,3216.89,3130.35,3130.15,108680240.0
2016-05-09,,3115.43,3115.43,3065.62,3055.01,99230477.0
2016-05-10,,3055.21,3084.72,3069.11,3055.18,68849935.0
2016-05-11,,3080.64,3102.88,3082.81,3063.09,81794258.0
2016-05-12,,3059.38,3095.35,3090.14,3035.02,78765726.0
2016-05-13,,3081.68,3103.1,3074.94,3064.69,62629755.0
2016-05-16,,3064.53,3095.56,3095.31,3053.66,59461856.0
2016-05-17,,3095.52,3105.2,3086.02,3073.46,65278125.0
2016-05-18,,3071.53,3072.61,3068.04,3039.46,82715369.0
2016-05-19,,3060.34,3086.98,3062.5,3058.15,60444166.0
2016-05-20,,3047.78,3078.53,3078.22,3041.52,56080842.0
2016-05-23,,3078.51,3098.48,3087.22,3076.5,59697216.0
2016-05-24,,3083.24,3083.26,3063.56,3052.59,58734385.0
2016-05-25,,3079.75,3089.1,3059.23,3054.87,56652803.0
2016-05-26,,3056.6,3072.52,3064.21,3027.44,60392981.0
2016-05-27,,3059.73,3073.76,3062.5,3052.18,60468750.0
2016-05-30,,3056.31,3075.26,3066.71,3037.66,63098579.0
2016-05-31,,3068.6,3170.93,3169.56,3068.6,138863111.0
2016-06-01,,3172.96,3181.79,3160.55,3159.82,113148482.0
2016-06-02,,3158.03,3168.82,3167.1,3151.07,86003427.0
2016-06-03,,3172.95,3201.75,3189.33,3162.09,101491783.0
2016-06-06,,3192.78,3197.22,3178.79,3168.55,76693751.0
2016-06-07,,3182.44,3186.62,3177.05,3168.18,68928314.0
2016-06-08,,3171.81,3174.97,3163.99,3148.35,76291775.0
2016-06-13,,3134.05,3145.61,3066.34,3065.77,92975947.0
2016-06-14,,3058.44,3078.75,3075.98,3055.66,66279457.0
